28	default cheap mobile provider	cheapest mobile operator	buy sim	west europe	nord europe	europe	country	east	card	
21818	stay study visa	long stay visa	schengen visa	14th december 2013	research work	south africa	french embassy	heading back	schengen countries	european countries	
21815	low cost carrier condor	reflect official rules	south american country	brazilian immigration officers	brazilian embassy	south america	personal situation	mail addresses	recently purchased	travelling overland	
21841	international zone	tunisia	transit	tunisian	leave	airport	amsterdam	minutes	care	
21842	transit visa needed	upcoming business flight	business visa	transit visas	hour layover	plane change	flight	houston	bali	singapore	
21846	valid schengen visa remaining	indian passport based	15 days schengen visa	days visa stay	multiple entry visa	turkish visa	spending 2 weeks	2 days	entry	turkey	
19651	frequent flyer status	folks wait	long queue	overhead locker	small planes	large plane	boarding process	large	boarding	comfortable	
21848	tale  http	http	distance	eu/	krakow	longer	eurocheapo	europebyrail	html	long	
21873	netherlands working holiday scheme	1 year visa apply strictly	working holiday visa	90/180 standard rule	dutch ind	schengen countries	schengen area	clock runs	extra time	visa	
21934	sufficiently long layover	bags landside	additional bag	canada tags	connecting flight	baggage allowance	clearing customs	check baggage	flight	baggage	
21941	priority pass card	access airport lounges	long layover	change terminals	access	lounges	terminals 1	6 hours	lounge	relax	
21950	walking / biking trip	enjoy things	inhabited area	longer distances	light cut	aid kit	medical supplies	summer months	trip	bike	
21954	immigration + walk ~20	reach final destination	final destination visa	citizen + passport	buy full ticket	assume money	> t3  http	lounge  http	british airways	terminals#table	
21957	require airport transit visa	airport transit visa	itinerary  san jose	b1/b2 visa hold	san jose	transit visa	transit visas	2 hrs transit	united airlines	german embassy	
21957	require airport transit visa	airport transit visa	itinerary  san jose	b1/b2 visa hold	san jose	transit visa	transit visas	2 hrs transit	united airlines	german embassy	
21957	require airport transit visa	airport transit visa	itinerary  san jose	b1/b2 visa hold	san jose	transit visa	transit visas	2 hrs transit	united airlines	german embassy	
21957	require airport transit visa	airport transit visa	itinerary  san jose	b1/b2 visa hold	san jose	transit visa	transit visas	2 hrs transit	united airlines	german embassy	
21984	orbitz continually show flights	matrix airfare search	6 cheapest flights	phantom flights	identical search	cape town	behavior consistently	recently booked	yellow banner	single airline	
21957	require airport transit visa	airport transit visa	itinerary  san jose	b1/b2 visa hold	san jose	transit visa	transit visas	2 hrs transit	united airlines	german embassy	
22017	mid december	driving conditions	driving	mountains	kind	winter	zurich	maintained	venice	milan	
21992	electronic devices whilst	flight supports wi	flight supports	flight	wi	safe	wifi	turn	board	mentioned	
22027	waiting list	ve booked	shows wl/44	railway station	belgaum	confirmation	india	trains	cancel	ticket	
22027	waiting list	ve booked	shows wl/44	railway station	belgaum	confirmation	india	trains	cancel	ticket	
22032	enter schengen area	schengen visa issued	schengen countries	schengen visa	dutch embassy	business visa	enter	visa	business	fly	
22038	american issue document	spanish national id	government issue id	fly inside usa	foreign id	domestic flight	tsa agent	airline woman	travel inside	coming january 2014	
22054	foreign exchange student	schengen visa reissued	schengen visa	travel asap	visa	travel	lost	acquired	germany	passport	
22054	foreign exchange student	schengen visa reissued	schengen visa	travel asap	visa	travel	lost	acquired	germany	passport	
22051	people feel	big travel	day activities	travel excitement	travel	excitement	day	stomach	effective	deal	
22050	possibly preferable	information online	prefered place	requirement	people	connections	attempts	planning	roads	existence	
22080	cheap method	ryanair hub	comparatively expensive	slower	specially	cheapest	paris	travel	flying	back	
22065	gut feeling tells	chilean citizen joining	make things easier	local tour agents	chilean citizen	tour agents	concerns recently	connecting flight	rail pass	schengen area	
22087	past 1 year	indian citizen	visa extended	valid visa	change flights	flights	visa	valid	change	cancelling	
22088	jed saudi arabia	saudi airlines	doesn	singapore	dob	rest	traveling	passport	ticket	match	
22092	klm flight flying	single leg ticket	transit time ample	pretty ample	delta flight	flight lands	connecting flight	cheapest ticket	dedicated terminals	amsterdam airport	
22095	airlines fly directly	inaccessible land	southern parts	north pole	north america	journeys remained	greenland	love	route	flying	
22109	question suggest buying insurance	airlines calculate	lost baggage	baggage	case	based	luggage	reimburse	doesn	replies	
22113	heathrow duty free website isn	arrivals duty free stores	hong kong airport website	hong kong airport online	duty free shops	duty free section	duty free alcohol	ve generally found	hong kong	alcohol online	
22114	boarding	claim	booked	chennai	seat/berth	mumbai	train	changed	india	pune	
22142	map distance doesn	surrounding area	public transport	central europre	question specifically	central europe	generic solutions	necessarily relate	travel time	time	
22137	buffet place	lamb roast	related question	market restaurant	specific restaurant	visiting australia	australia	eateries	kind	terms	
22137	buffet place	lamb roast	related question	market restaurant	specific restaurant	visiting australia	australia	eateries	kind	terms	
22151	dedicated magna carta website	privately owned copy	hereford cathedral copy	british locations align	view magna cartas	magna cartas	hereford cathedral	british library	durham cathedral	bodleian library	
22151	dedicated magna carta website	privately owned copy	hereford cathedral copy	british locations align	view magna cartas	magna cartas	hereford cathedral	british library	durham cathedral	bodleian library	
22151	dedicated magna carta website	privately owned copy	hereford cathedral copy	british locations align	view magna cartas	magna cartas	hereford cathedral	british library	durham cathedral	bodleian library	
22151	dedicated magna carta website	privately owned copy	hereford cathedral copy	british locations align	view magna cartas	magna cartas	hereford cathedral	british library	durham cathedral	bodleian library	
22155	level travel planning	local maps	choose destinations	start high	started wondering	world map	travel	map	world	show	
21830	luggage weight limitations	buenos aires → ushuaia	bariloche → buenos aires	ushuaia → el calafate	el calafate → bariloche	flying 4 domestic flights	multiple domestic flights	domestic flights	multiple flights	flight separately	
22168	kul ticket	ticket	kul	didn	show	time	mnl	manila	coming	honor	
22179	bearer entry/visa	passport stamp	passport holder	passport holders	malaysian passport	israel refuse	passport	malaysian	israel	countries	
22175	surface tablet	b1 visa	personal laptop	office laptop	office	laptop	returning	id	carrying	purchased	
22175	surface tablet	b1 visa	personal laptop	office laptop	office	laptop	returning	id	carrying	purchased	
22164	fairly large	point &amp	fanny pack	upcoming trip	large rucksack	valuables consist	valuables	shoving	pickpockets	click	
22179	bearer entry/visa	passport stamp	passport holder	passport holders	malaysian passport	israel refuse	passport	malaysian	israel	countries	
22179	bearer entry/visa	passport stamp	passport holder	passport holders	malaysian passport	israel refuse	passport	malaysian	israel	countries	
22190	obtain russian passports	recognize israeli passports	passports issued	recognize passports	south ossetia	citizens passports	recent question	pretty widely	places recognized	recognize israel	
22190	obtain russian passports	recognize israeli passports	passports issued	recognize passports	south ossetia	citizens passports	recent question	pretty widely	places recognized	recognize israel	
9530	home timezone sleeping pattern	essentially staying awake	afford jet leg	timezone 10 timezones ahead	jet lag	good idea	severely mess	sleeping	timezone	back	
22201	direct airside transit visa	confirmed return ticket	indian passport holder	indian citizens fall	london heathrow	nearest embassy	united states	1 student visa	british airways	immigrant visa	
22186	torres del paine national park	los glacieres national park	torres del paine	los glacieres	bus line	ground transportation	website	discovered	http	htm	
22201	direct airside transit visa	confirmed return ticket	indian passport holder	indian citizens fall	london heathrow	nearest embassy	united states	1 student visa	british airways	immigrant visa	
3624	georgian mobile phone	free phone numbers	free number	involved calling	actual question	istanbul turkey	back story	tbilisi georgia	exotic location	scare quotes	
22216	short phone number	local service number	similar service numbers	local service	service numbers	earning money	number	numbers	zzzzzzz	xxxx	
22217	neighboring countries	high fee	fly prices	fly cheaper	fly	cheaper	money	alternatives	expensive	cargo	
22247	dec 22nd	virgin atlantic	class lounge	scandinavian airlines	6h layover	t5 ba	t2 & t3	mother meet	mother flies	mother	
22247	dec 22nd	virgin atlantic	class lounge	scandinavian airlines	6h layover	t5 ba	t2 & t3	mother meet	mother flies	mother	
22282	money transfered quickly	pubs accepting bitcoins	specific pub	travel expenses	fellow traveler	plane ticket	bitcoins worth	money	bitcoins	england	
22289	ice storm	past month	stay put	daily basis	hotel kick	hotel	kick	staying	don	ve	
22296	schengen visa maximum duration	stay exceeded due	​​schengen visa	visa calculators	stay planed	business visit	19th sept 2013	expected exit	91st day	1​8th dec	
22296	schengen visa maximum duration	stay exceeded due	​​schengen visa	visa calculators	stay planed	business visit	19th sept 2013	expected exit	91st day	1​8th dec	
22293	booking double rooms isn	unregistered guest share	completely hypothetical scenario	good things happen	foreign town	single occupancy	hotel kick	proper etiquette	night stands	hotel room	
155	northern borneo	return trip	kotakina balu	good eco	eco touring/diving	scuba diving	eco	diving	scuba	ve	
22334	climatological issues	good destination	snow level	ve read	holiday weeks	iceland sights	iceland	3 weeks	sights	week	
22335	accepted answer states	4x4 small car	small compact	4x4 car	public bus	interesting sights	tourist attraction	experience driving	question talks	similar topic	
5364	eu parliament site	eu country	sites online	bit risky	cc/ http	official place	sources   http	uk citizen	schengen visa	html http	
22341	air quality problems	air quality	current problems	avoid shanghai	shanghai due	scheduled	days	pictures	number	reports	
22348	nissan leaf	risk prosecution	feel free	stealing electricity	electric car	recently	gear	conversations	arrested	airport	
22348	nissan leaf	risk prosecution	feel free	stealing electricity	electric car	recently	gear	conversations	arrested	airport	
22363	night time long distance flight	long distance	overnight flight	warm towel	warm tissue	flight	tissue	returned	tissues	hours	
22365	visit east malaysia	east malaysia	monkey sanctuary	related backpacking	turtle island	sabah region	january  activity	orangutan center	good time	december & january	
12850	final landing point	recommended starting town	famous towns	east malaysia	kl afterward	town	kl	sarawak	end	backpacking	
22387	find cheap flights	cheapest prices	happily seek	7/+7 days	travel times	specific sites	3 month period	cheapest time	online sites	find	
22395	hong kong international airport	buy duty free alcohol	buy duty free liquids	kuala lumpur airport	purchase duty free	duty free liquids	buy duty free	bound passengers unable	duty free	earlier question	
22394	sri lankan holding	sri lanka	toronto airport	transit visa	air canada	canada	visa	f1	united	spending	
22413	massachusetts driving license	french driving license	driving license	french international	convert	boston	stay	live	plan	5 months	
22406	separate ticket	single airline	booking separate	san francisco	journey individually	save money	airlines object	separate airlines	airlines	fly	
22429	netherland visa	schengen visa	flying back	visa	flying	paris	couple	days	johannesburg	train	
22429	netherland visa	schengen visa	flying back	visa	flying	paris	couple	days	johannesburg	train	
22435	german embassy back	valid till mid	schengener staaten	90 days duration	schengen states	visa type	schengen visa	multiple entries	valid	deutschland	
22437	schengen state	schengen member	conference purpose	transit time	schengen grant	schengen visa	ticket uk	visit romania	visa cover	grant	
22437	schengen state	schengen member	conference purpose	transit time	schengen grant	schengen visa	ticket uk	visit romania	visa cover	grant	
22437	schengen state	schengen member	conference purpose	transit time	schengen grant	schengen visa	ticket uk	visit romania	visa cover	grant	
22440	businesses refuse massachusetts liquor id	rmv   liquor id card	massachusetts liquor id	state id card	liquor id	liquor stores	massachusetts law	massachusetts driver	state visitors	state driver	
22437	schengen state	schengen member	conference purpose	transit time	schengen grant	schengen visa	ticket uk	visit romania	visa cover	grant	
22394	sri lankan holding	sri lanka	toronto airport	transit visa	air canada	canada	visa	f1	united	spending	
22449	american dollars	preparing money	dubai	euros	travel	visit	france	aed	curency	dirhams	
22455	avoid ear pain	avoid screaming	ear pain	severe situation	bit worried	eye balls	ears pop	extreme pain	pain	eye	
22460	esta visa waiver program	visa waiver program	short term student	austrian citizenship	weird regulation	domestic flight	avoid canceling	american embassy	face problems	home country	
22474	economy class flight tickets	emirates economy flight	booking class	emirates	signify	signifies	heard	light	throw	
19894	8 hour connecting time	air canada	sydney australia	newark usa	connecting	fly	yvr	family	syd	luggage	
19894	8 hour connecting time	air canada	sydney australia	newark usa	connecting	fly	yvr	family	syd	luggage	
22522	leaving rome	boarding passes	final destination	directly delivered	delivered	checked	luggage	boston	stop	tonight	
22440	businesses refuse massachusetts liquor id	rmv   liquor id card	massachusetts liquor id	state id card	liquor id	liquor stores	massachusetts law	massachusetts driver	state visitors	state driver	
22511	short stay schengen visa issued	united arab emirates	french embassy	stay	5 days	romania	live	tunisian	france	back	
22558	bookings dropped prices compared	book affordable flight tickets	barring major holidays	bookings held	resulting increase	release date	arrival time/date	noon est	airline tickets	released tuesday	
22560	differing opinions google terms	potentially hear back	sufficiently strong social	visa waiver program	vwp page giving	arranged job interviews	united states exclusively	relevant work visa	vwp job interview	b1/b2 visa offer	
22511	short stay schengen visa issued	united arab emirates	french embassy	stay	5 days	romania	live	tunisian	france	back	
22569	ban holding back direct travel	foreign affairs advise	travel ban works	war travel ban	news article relating	indirect travel	wikipedia article	passport holders	give visa	leaving room	
22567	transit visa	requires change	flight	boston	elaborate	required	india	book	london	travelling	
22413	massachusetts driving license	french driving license	driving license	french international	convert	boston	stay	live	plan	5 months	
22574	airline baggage policy	baggage allowance inquiry	baggage allowance	qatar airways	electronic ticket	ticket	manila	helsinki	flying	airlines	
22593	deserted french villages	experience extreme silence	extreme silence	ardèche	popular culture	multiple days	sudden cry	btw birds	skinny dipping	summer experiencing	
21383	young japanese people	critical blog post	thought japan didn	live music	food wasn	serve food	night   clubs	official site	western countries	wrong parts	
22614	indian citizen staying	connecting flight	frankfurt &amp	schengen visa	visa	planning	stopovers	travel	india	stopover	
22614	indian citizen staying	connecting flight	frankfurt &amp	schengen visa	visa	planning	stopovers	travel	india	stopover	
21056	coming eid holidays	uae residence visa	valid schengen visa	schengen visa	schengen country	philippine passport	valid	expiring	europe	hold	
22623	temple lodging	similar question	preparing miso	zen meditation	zazen meditation	tokyo japan	zazen	japan	tokyo	sutras	
22625	fist bump	stay safe	awkward situation	insult people	shake hands	hands	shake	europe	living	hug	
22625	fist bump	stay safe	awkward situation	insult people	shake hands	hands	shake	europe	living	hug	
21673	direct airside transit visa	f1 visa	consulting firm	working full	british airways	11 hours 40 mins	holiday season	ukba website	flight reservation	indian national	
22643	great existing question	avoid delhi belly	changeable travel booking	delhi belly	staying put	bathroom isn	gi infection	travel	ve	afflicted	
22661	visa extension sounded fairly easy	extending mongolian tourist visa	mongolian tourist visa lasts	tourist visa extension	actual true procedure	true current process	forum posts tend	rough check online	finding conflicting information	tourist visa	
22669	personal exposure	jet bridge	importantly log	registration codes	registration	log	logs	exposed	measure	traveled	
22665	buy transit visa traveling	los angles lax	buy transit visa	transit visa	f1 visa	american airline	tokyo nrt	layover time	buy	traveling	
22670	layover time	short tour	jfk airport	airport	ghana	transiting	flight	esta	tobago	long	
22670	layover time	short tour	jfk airport	airport	ghana	transiting	flight	esta	tobago	long	
22679	electric bass	musical instruments	instruments	limited	usa	country	travel	greece	question	plane	
22700	appropriately roasted beans	cafe/coffee shop	rest independent	small chain	small area	local chain	caffeine fix	made coffee	coffee shops	existing question	
22700	appropriately roasted beans	cafe/coffee shop	rest independent	small chain	small area	local chain	caffeine fix	made coffee	coffee shops	existing question	
22709	lizard / dragon / reptile	looked distinctly unhappy	roma street parkland	roma street parklands	german tourists spotted	slightly closer photo	ve spotted	foursquare page	queensland lizard/dragon	nearest bush	
22724	cargo planes	cargo plane	cargo airplane	airlines offer	fly	passenger	seats	experience	front	
22736	pleasant experience	official advice	ve previously	pills	magic	alcohol	people	drugs	tricks	flying	
22749	thematic train trip based	train trip	unknown reason	enjoy traveling	miniature trains	trip	train	trains	requirement	wondering	
22735	route /	published schedules	ferry running	schedules	ferry	mwanza	kisumu	tanzania	close	kenya	
21226	recent mishap record	crossing lake victoria	regular schedule	ll settle	suggest earthwise	safety equipment	attempted calling	kisumu	number	cost	
22757	zone till 11th jan 23	schengen zone directly	schengen visa issued	back schengen visas	schengen zone	12th jan 00	19th january	putting times	6th january	visiting greece	
22796	motorola charm cellphone running	canadian cellphone works abroad	specific destination country	owned cellphone	canadian cell	equivalent question	equally twisted	local sim	perfect time	existing network	
22813	spinal cord stimulator implant fitted	scs implant airport security fears	airport security	implant involves	titanium rods/screws	pain areas	card stating	tummy wall	extremely suspicious	epidural space	
22772	easy visa access	theme park	theme parks	large number	speaking tourists	japanese citizens	japanese people	include japan	japanese	japan	
22815	trains/buses connecting bristol	public transport	spend 3 days	visit stonehenge	visit bath	stonehenge	bristol	bath	april	lot	
22840	winter season	cheaper alternatives	pretty expensive	train ticket	hokkaido isn	expensive	train	hokkaido	osaka	cheap	
22850	germany short stay holiday visa	short stay holiday visa	refused schengen visa	visa application	funding deatails	tax file	reason mentioned	children age	business registration	apply due	
22881	ánghuǒ chángchéng	virtual private network	state web censorship	world including facebook	anecdotal reports	usual answer	popular websites	previous stay	ve started	friend set	
22900	separate ticket booked	lot money	connecting flight	qatar airways	flight back	back	dubai	save	doha	oslo	
22916	connection time betweeen	amsterdam airport	amsterdam	week	instance	flight	luggage	madrid	company	1 hour	
22844	flex date option provided	car rental prices making	picked dates based purely	cost effective means	industry travel website	dates based	decision based	location present	places deciding	greatest savings	
22766	symmetrical round sockets	recessed round shape	koh chang thailand	koh chang	earthing clips	cee 7/4	commonly called	thailand	visit	heard	
22929	minor traveling enjoy	tourist destination	south pole	year ends	year starts	year	north	limits	dateline	ps	
22949	zazen meditation	special cushion	similar question	buy zafu	secondhand zafu	secondhand	didn	tokyo	kyoto	areas	
22957	24 pot shops opened	smoking weed legal	smoking marijuana	legal	tolerated	don	colorado	restrictions	differences	street	
22899	chip & signature amex	signature amex	international traveling	chip &amp	chip	idk	ll	
22972	21 year olds allowed	person signed	minimum age	rental car	25 year	allowed	car	age	renting	drive	
22975	company arranges flights	seaman working	return home	cruise ship	zealand national	flight back	company	national	back	flight	
22975	company arranges flights	seaman working	return home	cruise ship	zealand national	flight back	company	national	back	flight	
5779	absolute cheapest accommodation	poorer countries	cheapest places	entire country	usual sources	wikitravel don	guest workers	couch surfing	cheap hotels	kuwait city	
22982	issuing tourist visas	guest worker populations	lowest price range	conceivably hotels run	lowest prices	saudi arabia	language barrier	cheapest accommodations	independent backpacker	hajj pilgrimage	
22985	including stack exchange	regular internet cafe	internet explorer 6	internet bars	internet cafe	limited version	power sockets	hot drinks	modern websites	scouting missions	
23005	united airlines flight	united airlines	costa rica	changing planes	toronto	returning	taking	flying	british	newark	
21770	large hadron collider	tour	touring	ideas	
13608	european organization	nuclear research	guided tours	visiting cern	cern	geneva	visit	switzerland	parts	tourist	
22151	dedicated magna carta website	privately owned copy	hereford cathedral copy	british locations align	view magna cartas	magna cartas	hereford cathedral	british library	durham cathedral	bodleian library	
22985	including stack exchange	regular internet cafe	internet explorer 6	internet bars	internet cafe	limited version	power sockets	hot drinks	modern websites	scouting missions	
23041	countries require validity	countries require	countries	passports	requirement	months	entrance	departure	stay	reason	
23062	accept australian dollars	foreign currency	technically illegal	withdraw money	bringing lots	street rate	exchange rate	exchange	case	usd	
23085	full passport increase	proper inference	fully stamped	valid passport	immigration officers	passport	immigration	inspect	stamp	travel	
23098	provide charter airline service	booking charter flights online	regular flight search engines	holiday destination cities	flight code qs4135	travel service airlines	charter flights	direct flight	cape verde	search	
23115	board 18 hour flight	smoke detector won	international flight	shirt sleve	smoke	australia	cig	taking	stop	lavatory	
22947	require permanent resident status	credit/debit card transactions occurring	paid debit card	prepaid debit card	buy canadian dollars	easy withdraw	exchange store	government taxes	card	buy	
23133	airport change worth	airport change	~120 usd total	start mia	cost difference	ürich flights	checked luggage	luggage	taxi	people	
23133	airport change worth	airport change	~120 usd total	start mia	cost difference	ürich flights	checked luggage	luggage	taxi	people	
23133	airport change worth	airport change	~120 usd total	start mia	cost difference	ürich flights	checked luggage	luggage	taxi	people	
23169	speaks good english	british citizen husband	proper employment documentation	half years left	thai wife residing	half years	thai citizen	half ago	thai restaurant	time english	
23169	speaks good english	british citizen husband	proper employment documentation	half years left	thai wife residing	half years	thai citizen	half ago	thai restaurant	time english	
23169	speaks good english	british citizen husband	proper employment documentation	half years left	thai wife residing	half years	thai citizen	half ago	thai restaurant	time english	
23169	speaks good english	british citizen husband	proper employment documentation	half years left	thai wife residing	half years	thai citizen	half ago	thai restaurant	time english	
23171	credit card info	paid accomodation	visa application	schengen visa	schengen	pre	booked	applying	hotel	netherlands	
23175	transit schengen visa	schengen visa	german embassy	traveling back	swiss embassy	zurich	boston	delhi	munich	itinerary	
23212	japanese transit visa	transit visa	indian citizens	san francisco	indian citizen	3 hour layover	tokyo	ways	singapore	traveling	
23202	ve heard varying reports	december 2010 data applies	safe bet	flexible ticket	cloud cover	queue length	london eye	subjective question	weather cooperate	ve	
23219	immigration process easier	travel agent didn	lebanese passport	final destination	extremely stressing	completely booked	tourist visa	flight connections	british airways	travel	
23219	immigration process easier	travel agent didn	lebanese passport	final destination	extremely stressing	completely booked	tourist visa	flight connections	british airways	travel	
23246	north korean border	closest place nearby	aforementioned travel guides	european couple	lonely planet	sensitive area	accept bookings	wikivoyage lists	accepts foreigners	foreign guests	
22927	trans mongolian train trip	generally pretty easy	general travel restrictions	year ago full	months ago making	year ago making	random local hotel	– hotel registration tutorial	mongolian border	weeks ago	
21597	8 hour layover	similar question	site charges $9	location mentioned	incheon airport	shower rooms	singapore airport	airport	singapore	shower	
23244	european road signs	french road signs	common road signs	american road signs	stack exchange	exhaustive comparison	comparison	usa	broad	differences	
23291	software developers vary hugely	extremely broken phone attention	couple weeks ago	inappropiate visa status	original plans included	german embassy hasn	german acquaintance	tourist visa	original question	argentinian citizen	
23305	selected sex column	ticket online pnr	indian train ticket	ticket punita	mumbai central	personal details	upcoming trip	convert male	male	booked	
23311	call center agent informed	55 total money lost due	people money lost due	78 money lost due	foreign transaction fee	customer care line	future employment prospects	proper documentation supporting	customer care agent	original expected expenditure	
23317	embossed debit card	car rental services	car rental	state debit	credit card	rental	airports	read	budget	hertz	
23317	embossed debit card	car rental services	car rental	state debit	credit card	rental	airports	read	budget	hertz	
23324	slightly complicated scenario outlined	visa appointment confirmation letter	proper travel documents	emirates airlines flight 22	american airlines flight 54	emirates airlines flight 524	boarding tickets denied	f1 student visa	original question suggested	itinerary switch valid	
23311	call center agent informed	55 total money lost due	people money lost due	78 money lost due	foreign transaction fee	customer care line	future employment prospects	proper documentation supporting	customer care agent	original expected expenditure	
23226	experimental data point	airlines refusing check	airlines refuse	refused boarding	refused entry	urban legend	utter nonsense	recently heard	return ticket	ticket	
23346	water parks / swimming pools	uncrowded budget ski resort	long driving required	reach sightseeing destinations	driving required	time uncrowded	skiing resort	ski lifts	ski school	black pistes	
23360	sisters graduation leaving	business advantage account	aa advantage program	buy additional miles	anytime coach ticket	aa advantage	platinum member	coach ticket	straight answer	full fares	
23379	banks offer tourists	prefer checking accounts	lowest balance needed	lowest fees	checking account	social security #	debit card	low fees	tourists traveling	transaction fees	
23402	schengen visa delivered	schengen visa issued	wanna visit romania	mult entry 90 days	schengen visa	german embassy	24th february	20th february	11th march 2014	visa	
23388	bring items worth 25k	ship / aircraft	duty free laptop	25k entitlement	duty free	notebook computer	stayed abroad	returning back	laptop mentioned	laptop computer	
23442	leg plane ticket	ll call xyz	simply forgo	head straight	final destination	stopover airport	york city	leg flight	xyz ticket	phl leg	
19664	schengen visa	enter romania	romania	5 days	dubai	staying	basically	
23456	hotel reservation confirmation	reservation paper	schengen visa	dr congo	cheapest hotel	hotel	contacted	number	mentioned	expensive	
23482	iphone 5s	weekend stay	internet access	sim card	home operator	access internet	venice	italy	travel	month	
23475	sim card micro	sim card	passport/visa copy	documents required	approx charges	paris airport	paris	europe	india	operator	
23475	sim card micro	sim card	passport/visa copy	documents required	approx charges	paris airport	paris	europe	india	operator	
23475	sim card micro	sim card	passport/visa copy	documents required	approx charges	paris airport	paris	europe	india	operator	
23491	long stay french visa	long term french visa	long stay visa	find correct information	term residents	social benefits	united states	schengen state	schengen states	legal status	
23491	long stay french visa	long term french visa	long stay visa	find correct information	term residents	social benefits	united states	schengen state	schengen states	legal status	
23491	long stay french visa	long term french visa	long stay visa	find correct information	term residents	social benefits	united states	schengen state	schengen states	legal status	
23503	hassle free	public nuisance	working visa	tourist visa	existing fine	unpaid fine	fine	back	apply	disturbing	
23506	entry stamp	schengen zone	flight connection	journey jfk	passenger	passport	enter	munich	muc	>muc	
23506	entry stamp	schengen zone	flight connection	journey jfk	passenger	passport	enter	munich	muc	>muc	
23506	entry stamp	schengen zone	flight connection	journey jfk	passenger	passport	enter	munich	muc	>muc	
23514	visit france/switzerland/italy/austria/liechtenstein  paris	europe vacation travel	international visit	sim card	docs required	schengen visa	additional documents	europe	documents	8 days…	
23524	south africian passport	transit visa requirement	cape town	san francisco	7 hour layover	visa	route	london	sf	
23524	south africian passport	transit visa requirement	cape town	san francisco	7 hour layover	visa	route	london	sf	
23524	south africian passport	transit visa requirement	cape town	san francisco	7 hour layover	visa	route	london	sf	
23524	south africian passport	transit visa requirement	cape town	san francisco	7 hour layover	visa	route	london	sf	
23296	visa application	deported back	immigration officer	tbilisi georgia	academic purpose	functioning anymore	tourist attractions	irish visa	tourist visit	visiting ireland	
23539	ticket railway reservation	railway reservation	single transaction	tickets online	waiting list	ticket	booked	travel	confirmed	
23602	international graduate student living	international student	niagara border	immigration lines	luggage transfer	south america	b2 visa	border security	miss flights	transit time	
23612	active international roaming	vodafone india number	calling cards	voice calls	slightly expensive	free option	india	option	week	work	
23612	active international roaming	vodafone india number	calling cards	voice calls	slightly expensive	free option	india	option	week	work	
23612	active international roaming	vodafone india number	calling cards	voice calls	slightly expensive	free option	india	option	week	work	
23612	active international roaming	vodafone india number	calling cards	voice calls	slightly expensive	free option	india	option	week	work	
23610	uk border agency site	uk border agency information	needing land side visa	uk landside visa queries	land side visa	48 hrs 15 min difference	landside visa	indian resident	connecting flight	flight option	
23630	brazilian tourist visa tied	flight reservations prior	visa application prices	tourist visa	refundable flight	visa simply	sao paulo	financially advantageous	international travel	reasonable round	
23631	unused tsa lock pose	normal number lock	number lock	tsa lock	tsa locks	digit password	switzerland back	check	issues	travel	
23633	indian tour operator	received travel insurance	travel insurance	airline desk	visit europe	europe	claim	planning	checked	referring	
23632	carry domestic currency	indian currency	small amount	taxi charges	small expenses	week holiday	carry	departing	india	inr	
23657	arrival visa service	denied visa	arrival basics	visiting country	visitor arriving	arrival	visa	country	visitor	countries	
9926	london heathrow airport	london heathrow	past officials	stay landside	boarding flights	real stories	british airways	stay airside	indian national	visa concession	
23615	mistake booked	updated ticket/insurance	qatar airways	major issues	airline ticket/insurance	indian provider	travel operator	visible details	group booking	passport number	
23358	uk tourist visa isn	uae residence visa	uk tourist visa	tourist visa	enter uk	expire end	tourist	uae	uk	back	
23655	mato grosso del sur	slowly marching onward	campo grande day 2	campo grande	thinking day 1	santa cruz	bonito day 6	bonito day 4	spend time	pantanal tour	
23694	flight isn	august 22nd	j1 visa	july 13th	uk national	grace period	travelling	esta	mexico	expires	
23696	require airport transit visa	montego bay	final destination	invitation letter	visa	dubai	flying	husband	frankfurt	mumbiai	
23696	require airport transit visa	montego bay	final destination	invitation letter	visa	dubai	flying	husband	frankfurt	mumbiai	
23705	german family reunion visa type	schengen stated visa	schengen states	visa	states	past	bus	travel	deutschland	france	
22867	schengen area	exchange student	national visa	visit france	schengen countries	visa	countries	visit	kind	don	
23646	prefer high speed trains	spend time travelling	rail pass	eu country	reserving seats	recommend buying	reserve seats	seats	reserve	buying	
23646	prefer high speed trains	spend time travelling	rail pass	eu country	reserving seats	recommend buying	reserve seats	seats	reserve	buying	
23692	general broad search   engine	awesome travel site	small rounded rectangle	specific travel/search site	broad search	small rounded	travel planning	search sites	travel site	helps narrow	
23705	german family reunion visa type	schengen stated visa	schengen states	visa	states	past	bus	travel	deutschland	france	
23722	spending initial days	short stay visa	crazy talk	stack attending	single trip	great optimization	touristy time	coming back	schengen countries	consecutive weekends	
23735	extend schengen visa	schengen visa	return home	march	3 months	applying	back	april	apply	
23754	big tech companies	short time	canadian citizens	canadian citizen	border control	job interview	interview purposes	business visa	visa needed	needed	
23754	big tech companies	short time	canadian citizens	canadian citizen	border control	job interview	interview purposes	business visa	visa needed	needed	
23764	current spanish passport	vancouver international airport	spanish passport	los angeles	change planes	flying usa	airport	flying	canada	flight	
23764	current spanish passport	vancouver international airport	spanish passport	los angeles	change planes	flying usa	airport	flying	canada	flight	
23794	international trip booked directly	airline improve customer service	book international flights	bought travel insurance	direct ticket purchase	customer service	travel frequency	ticket directly	booking directly	busy sprinting	
23820	canada apparently doesn	esta visa waiver	left north america	north america	return flight	spent 90 days	canada	left	esta	90 days	
